Bulan,Mean,Min,Max
2016-01,504.72,398,699
2016-02,501.27,375,638
2016-03,566.97,460,705
2016-04,376.84,241,561
2016-05,242.16,123,456
2016-06,275.25,131,357
2016-07,169.20,115,263
2016-08,31.32,7,74
2016-09,238.59,154,332
2016-10,663.48,503,799
2016-11,862.18,739,1081
2016-12,579.25,410,795
2017-01,702.89,585,832
2017-02,636.71,457,737
2017-03,563.43,458,687
2017-04,520.78,397,638
2017-05,101.23,51,177
2017-06,72.16,43,117
2017-07,10.03,1,50
2017-08,3.19,0,16
2017-09,123.85,79,191
2017-10,277.58,201,392
2017-11,717.46,617,879
2017-12,402.14,295,544
2018-01,976.10,776,1156
2018-02,523.41,371,674
2018-03,518.48,359,674
2018-04,306.06,190,479
2018-05,90.05,54,135
2018-06,27.43,8,94
2018-07,1.09,0,11
2018-08,1.06,0,21
2018-09,43.09,3,205
2018-10,25.28,3,76
2018-11,782.28,461,1020
2018-12,605.73,479,829
2019-01,695.03,512,1039
2019-02,500.65,404,642
2019-03,570.11,431,712
2019-04,527.61,344,891
2019-05,101.08,8,339
2019-06,22.68,5,45
2019-07,4.28,0,16
2019-08,0.95,0,10
2019-09,1.05,0,10
2019-10,12.65,1,59
2019-11,135.18,72,215
2019-12,785.39,625,997
2020-01,496.09,356,724
2020-02,701.90,549,932
2020-03,591.37,476,767
2020-04,314.87,208,407
2020-05,210.75,133,353
2020-06,15.65,2,34
2020-07,21.44,3,61
2020-08,27.16,15,37
2020-09,71.77,45,135
2020-10,443.77,368,544
2020-11,440.67,325,533
2020-12,671.38,566,916
2021-01,853.75,749,961
2021-02,448.70,225,740
2021-03,736.90,604,853
2021-04,347.22,264,499
2021-05,130.94,55,203
2021-06,174.08,115,312
2021-07,22.41,10,87
2021-08,33.29,15,68
2021-09,101.56,73,139
2021-10,375.75,295,481
2021-11,864.04,747,1080
2021-12,674.01,489,869
2022-01,533.29,332,747
2022-02,545.62,446,647
2022-03,745.03,559,1117
2022-04,496.57,404,650
2022-05,432.75,325,589
2022-06,281.51,205,435
2022-07,48.99,30,82
2022-08,72.92,46,146
2022-09,217.66,165,319
2022-10,781.94,594,950
2022-11,1050.27,888,1165
2022-12,736.39,568,911
2023-01,780.22,535,940
2023-02,630.57,425,862
2023-03,753.84,595,1063
2023-04,446.38,264,632
2023-05,228.47,180,291
2023-06,12.25,0,40
2023-07,2.51,0,14
2023-08,0.13,0,2
2023-09,0.28,0,5
2023-10,27.77,0,107
2023-11,383.84,279,472
2023-12,498.54,312,668
2024-01,845.05,734,949
2024-02,482.22,353,616
2024-03,579.46,391,729
2024-04,631.95,536,720
2024-05,14.46,2,50
2024-06,77.39,32,146
2024-07,19.68,8,40
2024-08,23.49,8,49
2024-09,58.41,18,105
2024-10,106.92,52,192
2024-11,1072.84,791,1361
2024-12,766.62,575,932
2025-01,730.86,572,922
2025-02,663.71,539,781
2025-03,786.67,654,963
